journal,title,year,doi,novel_taxon,geography,age1,age2
Nature,A Triassic stem lepidosaur illuminates the origin of lizard-like reptiles,2021,10.1038/s41586-021-03834-3,Taytalura alcoberi ,Argentina,Mesozoic,Triassic
Nature,Cretaceous bird from Brazil informs the evolution of the avian skull and brain,2024,10.1038/s41586-024-08114-4,Navaornis hestiae ,Brazil,Mesozoic,Cretaceous
Nature,Africa’s oldest dinosaurs reveal early suppression of dinosaur distribution,2022,10.1038/s41586-022-05133-x,Mbiresaurus raathi ,Zimbabwe,Mesozoic,Triassic
Nature,A Silurian armoured aplacophoran and implications for molluscan phylogeny,2012,10.1038/nature11328,Kulindroplax perissokomos,United Kingdom,Paleozoic,Silurian
Nature,Organ systems of a Cambrian euarthropod larva,2024,10.1038/s41586-024-07756-8,Youti yuanshi ,China,Paleozoic,Cambrian
Nature,Three new Jurassic euharamiyidan species reinforce early divergence of mammals,2014,10.1038/nature13718,Shenshou lui,China,Mesozoic,Jurassic
Nature,Three new Jurassic euharamiyidan species reinforce early divergence of mammals,2014,10.1038/nature13718,Xianshou linglong,China,Mesozoic,Jurassic
Nature,Three new Jurassic euharamiyidan species reinforce early divergence of mammals,2014,10.1038/nature13718,Xianshou songa,China,Mesozoic,Jurassic
Nature,New infant cranium from the African Miocene sheds light on ape evolution,2017,10.1038/nature23456,Nyanzapithecus alesi,Kenya,Cenozoic,Miocene
Nature,The oldest known lepidosaur and origins of lepidosaur feeding adaptations,2025,10.1038/s41586-025-09496-9,Agriodontosaurus helsbypetrae,United Kingdom,Mesozoic,Triassic
Nature,A long-necked early dinosaur from a newly discovered Upper Triassic basin in the Andes,2025,10.1038/s41586-025-09634-3,Huayracursor jaguensis,Argentina,Mesozoic,Triassic
Nature,Fossoriality and evolutionary development in two Cretaceous mammaliamorphs,2021,10.1038/s41586-021-03433-2,Fossiomanus sinensis,China,Mesozoic,Cretaceous
Nature,Fossoriality and evolutionary development in two Cretaceous mammaliamorphs,2021,10.1038/s41586-021-03433-2,Jueconodon cheni,China,Mesozoic,Cretaceous
Nature,Nanotyrannus and Tyrannosaurus coexisted at the close of the Cretaceous,2025,10.1038/s41586-025-09801-6,Nanotyrannus lethaeus,United States,Mesozoic,Cretaceous
Nature,Eocene primates of South America and the African origins of New World monkeys,2015,10.1038/nature14120,Perupithecus ucayaliensis,Peru,Cenozoic,Eocene
Nature,Convergent evolution of diverse jaw joints in mammaliamorphs,2025,10.1038/s41586-025-09572-0,Polistodon chuannanensis,China,Mesozoic,Jurassic
Nature,Convergent evolution of diverse jaw joints in mammaliamorphs,2025,10.1038/s41586-025-09572-0,Camurocondylus lufengensis,China,Mesozoic,Jurassic
Nature,Spiny chondrichthyan from the lower Silurian of South China,2022,10.1038/s41586-022-05233-8,Fanjingshania renovata,China,Paleozoic,Silurian
Nature,Triassic stem caecilian supports dissorophoid origin of living amphibians,2023,10.1038/s41586-022-05646-5,Funcusvermis gilmorei,United States,Mesozoic,Triassic
Nature,A Jurassic eutherian mammal and divergence of marsupials and placentals,2011,10.1038/nature10291,Juramaia sinensis,China,Mesozoic,Jurassic
Nature,An early Cambrian euarthropod with radiodont-like raptorial appendages,2020,10.1038/s41586-020-2883-7,Kylinxia zhangi ,China,Paleozoic,Cambrian
Nature,New species from Ethiopia further expands Middle Pliocene hominin diversity,2015,10.1038/nature14448,Australopithecus deyiremeda,Ethiopia,Cenozoic,Pliocene
Nature,Transitional mammalian middle ear from a new Cretaceous Jehol eutriconodont,2011,10.1038/nature09921,Liaoconodon hui,China,Mesozoic,Cretaceous
Nature,An Early Cretaceous eutherian and the placental–marsupial dichotomy,2018,10.1038/s41586-018-0210-3,Ambolestes zhoui,China,Mesozoic,Cretaceous
Nature,Triassic diapsid shows early diversification of skin appendages in reptiles,2025,10.1038/s41586-025-09167-9,Mirasaura grauvogeli,France,Mesozoic,Triassic
Nature,Osteichthyan-like cranial conditions in an Early Devonian stem gnathostome,2015,10.1038/nature14065,Janusiscus schultzei,Russia,Paleozoic,Devonian
Nature,Late Cretaceous bird from Madagascar reveals unique development of beaks,2020,10.1038/s41586-020-2945-x,Falcatakely forsterae,Madagascar,Mesozoic,Cretaceous
Nature,New gliding mammaliaforms from the Jurassic,2017,10.1038/nature23476,Maiopatagium furculiferum,China,Mesozoic,Jurassic
Nature,Cretaceous ornithurine supports a neognathous crown bird ancestor,2022,10.1038/s41586-022-05445-y,Janavis finalidens,Belgium,Mesozoic,Cretaceous
Nature,A new species of Homo from the Late Pleistocene of the Philippines,2019,10.1038/s41586-019-1067-9,Homo luzonensis,Philippines,Cenozoic,Pleistocene
Nature,A new Miocene ape and locomotion in the ancestor of great apes and humans,2019,10.1038/s41586-019-1731-0,Danuvius guggenmosi,Germany,Cenozoic,Miocene
Nature,The earliest bird-line archosaurs and the assembly of the dinosaur body plan,2017,10.1038/nature22037,Teleocrater rhadinus,Tanzania,Mesozoic,Triassic
Nature,A gigantic feathered dinosaur from the Lower Cretaceous of China,2012,10.1038/nature10906,Yutyrannus huali,China,Mesozoic,Cretaceous
Nature,The oldest gnathostome teeth,2022,10.1038/s41586-022-05166-2,Qianodus duplicis,China,Paleozoic,Silurian
Nature,Bizarre tail weaponry in a transitional ankylosaur from subantarctic Chile,2021,10.1038/s41586-021-04147-1,Stegouros elengassen,Chile,Mesozoic,Cretaceous
Nature,A new elpistostegalian from the Late Devonian of the Canadian Arctic,2022,10.1038/s41586-022-04990-w,Qikiqtania wakei,Canada,Paleozoic,Devonian
Nature,A Palaeozoic shark with osteichthyan-like branchial arches,2014,10.1038/nature13195,Ozarcus mapesae,United States,Paleozoic,Carboniferous
Nature,Skeleton of a Cretaceous mammal from Madagascar reflects long-term insularity,2020,10.1038/s41586-020-2234-8,Adalatherium hui,Madagascar,Mesozoic,Cretaceous
Nature,A Jurassic mammaliaform and the earliest mammalian evolutionary adaptations,2013,10.1038/nature12429,Megaconus mammaliaformis,China,Mesozoic,Jurassic
Nature,A bizarre Jurassic maniraptoran theropod with preserved evidence of membranous wings,2015,10.1038/nature14423,Yi qi,China,Mesozoic,Jurassic
Nature,Ancestral morphology of crown-group molluscs revealed by a new Ordovician stem aculiferan,2017,10.1038/nature21055,Calvapilosa kroegeri,Morocco,Paleozoic,Ordovician
Nature,A middle Cambrian arthropod with chelicerae and proto-book gills,2019,10.1038/s41586-019-1525-4,Mollisonia plenovenatrix,Canada,Paleozoic,Cambrian
Nature,The giant bite of a new raptorial sperm whale from the Miocene epoch of Peru,2010,10.1038/nature09067,Leviathan melvillei,Peru,Cenozoic,Miocene
Nature,Galeaspid anatomy and the origin of vertebrate paired appendages,2022,10.1038/s41586-022-04897-6,Tujiaaspis vividus,China,Paleozoic,Silurian
Nature,A heavyweight early whale pushes the boundaries of vertebrate morphology,2023,10.1038/s41586-023-06381-1,Perucetus colossus,Peru,Cenozoic,Eocene
Nature,Jurassic shuotheriids show earliest dental diversification of mammaliaforms,2024,10.1038/s41586-024-07258-7,Feredocodon chowi,China,Mesozoic,Jurassic
Nature,Drosophila are hosts to the first described parasitoid wasp of adult flies,2024,10.1038/s41586-024-07919-7,,,,
Nature,Tubicolous enteropneusts from the Cambrian period,2013,10.1038/nature12017,Spartobranchus tenuis,Canada,Paleozoic,Cambrian
Nature,A Cretaceous eutriconodont and integument evolution in early mammals,2015,10.1038/nature14905,Spinolestes xenarthrosus,Spain,Mesozoic,Cretaceous
Nature,Morphology of the earliest reconstructable tetrapod Parmastega aelidae,2019,10.1038/s41586-019-1636-y,Parmastega aelidae,Russia,Paleozoic,Devonian
Nature,"A bizarre, humped Carcharodontosauria (Theropoda) from the Lower Cretaceous of Spain",2010,10.1038/nature09181,Concavenator corcovatus,Spain,Mesozoic,Cretaceous
Nature,A Jurassic gliding euharamiyidan mammal with an ear of five auditory bones,2017,10.1038/nature24483,Arboroharamiya allinhopsoni,China,Mesozoic,Jurassic
Nature,Ecologically distinct dinosaurian sister group shows early diversification of Ornithodira,2010,10.1038/nature08718,Asilisaurus kongwe,Tanzania,Mesozoic,Triassic
Nature,Burgess Shale fossils illustrate the origin of the mandibulate body plan,2017,10.1038/nature22080,Tokummia katalepsis,Canada,Paleozoic,Cambrian
Nature,A Jurassic avialan dinosaur from China resolves the early phylogenetic history of birds,2013,10.1038/nature12168,Aurornis xui,China,Mesozoic,Jurassic
Nature,Brain structure resolves the segmental affinity of anomalocaridid appendages,2014,10.1038/nature13486,Lyrarapax unguispinus,China,Paleozoic,Cambrian
Nature,A new Jurassic scansoriopterygid and the loss of membranous wings in theropod dinosaurs,2019,10.1038/s41586-019-1137-z,Ambopteryx longibrachium,China,Mesozoic,Jurassic
Nature,A Middle Triassic stem-turtle and the evolution of the turtle body plan,2015,10.1038/nature14472,Pappochelys rosinae,Germany,Mesozoic,Triassic
Nature,The evolution of mammal-like crocodyliforms in the Cretaceous Period of Gondwana,2010,10.1038/nature09061,Pakasuchus kapilimai,Tanzania,Mesozoic,Cretaceous
Nature,First cranial remains of a gondwanatherian mammal reveal remarkable mosaicism,2014,10.1038/nature13922,Vintana sertichi,Madagascar,Mesozoic,Cretaceous
Nature,Fossils document evolutionary changes of jaw joint to mammalian middle ear,2024,10.1038/s41586-024-07235-0,Dianoconodon youngi,China,Mesozoic,Jurassic
